822,  12,  23,  12,  12,   5,   5,   9,  66,  34;
   4, 935,   0,   2,   1,   1,   2,   0,   5,  50;
  33,   0, 784,  27,  61,  47,  22,  12,   9,   5;
   7,   0,  28, 719,  42, 128,  30,  19,  15,  12;
   2,   1,  20,  29, 892,  13,  12,  23,   6,   2;
   4,   2,  11,  78,  27, 839,   9,  19,   9,   2;
   2,   2,  20,  42,  22,   9, 895,   5,   1,   2;
   4,   0,   8,  22,  32,  24,   2, 899,   3,   6;
  20,  13,   4,   2,   2,   0,   3,   2, 927,  27;
   8,  34,   2,   3,   0,   0,   1,   0,   9, 943;
